origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Unknown,True,HP,False,Zbook fury,Zbook fury,16.0,500.0,15.95,16.0,500.0,i7-12850hx,16.0,16.0,500.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,15000000.0
Unknown,True,Microsoft,False,Surface Laptop 4,Surface Laptop 4,16.0,256.0,15.95,16.0,256.0,Unknown,15.0,16.0,256.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,True,Missing,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,Microsoft,Other,False,True,10900000.0
Mỹ,False,Dell,False,Vostro,Vostro,8.0,256.0,15.95,8.0,320.0,i5-8250u,15.6,8.0,256.0,15.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - AMD Radeon,False,1.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Vostro,False,False,4500000.0
Unknown,True,Dell,False,Dòng Khác,Latitude,8.0,256.0,13.95,8.0,256.0,i7-8665u,13.3,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,0.0,Expired,False,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Dòng Khác,False,False,5000000.0
Unknown,True,Lenovo,False,Thinkpad e14,Thinkpad e14,8.0,256.0,13.95,8.0,256.0,Unknown,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Lenovo,Other,False,True,5500000.0
Other,False,HP,False,Elitebook,Elitebook,8.0,256.0,13.95,8.0,256.0,Unknown,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Elitebook,False,False,6500000.0
Unknown,True,HP,False,Dòng Khác,Dòng Khác,,,,,,Unknown,,,,,True,True,True,False,True,True,Unknown,Missing,True,Missing,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Dòng Khác,False,False,120000.0
Nhật Bản,False,Dell,False,XPS 13,XPS 13,16.0,256.0,13.95,16.0,,Unknown,,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,True,Missing,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,XPS 13,False,False,9000000.0
Unknown,True,ASUS,False,Dòng Khác,Dòng Khác,8.0,,,8.0,,i5-6300hq,,8.0,,,False,True,True,False,True,False,Intel,Mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,Unknown,False,Đã sử dụng (chưa sửa chữa),False,False,ASUS,Dòng Khác,False,False,5000000.0
Nhật Bản,False,Hãng khác,False,Dòng Khác,Dòng Khác,16.0,256.0,15.95,,,Unknown,,16.0,256.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,True,Missing,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Hãng khác,Dòng Khác,False,False,7000000.0
Unknown,True,Dell,False,Precision,Precision,32.0,512.0,13.95,32.0,,i7 12800h,,32.0,512.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Precision,False,False,16500000.0
