sample_id,actual_price,predicted_price,residual,absolute_error,percentage_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,model_name,target_used
5723,5.5,12.390851091144116,-6.890851091144116,6.890851091144116,-1.2528820163438608,1.2528820163438608,2.2528820161620424,Low,extreme_error,CatBoost,log_target_price
7133,6.5,14.599469352190956,-8.099469352190956,8.099469352190956,-1.2460722078376745,1.2460722078376745,2.246072207683828,Mid,extreme_error,LightGBM,target_price
296,2.0,4.491046764684649,-2.491046764684649,2.491046764684649,-1.2455233817195626,1.2455233817195626,2.2455233812195625,Low,extreme_error,LightGBM,target_price
1726,2.5,5.593312419919603,-3.093312419919603,3.093312419919603,-1.2373249674729112,1.2373249674729112,2.237324967072911,Low,extreme_error,CatBoost,log_target_price
5617,5.5,12.27427574907287,-6.774275749072871,6.774275749072871,-1.231686499607488,1.231686499607488,2.23168649942567,Low,extreme_error,CatBoost,log_target_price
3235,5.5,12.26671135216118,-6.766711352161179,6.766711352161179,-1.2303111547147032,1.2303111547147032,2.230311154532885,Low,extreme_error,CatBoost,target_price
2114,4.9,10.917711668234563,-6.017711668234563,6.017711668234563,-1.2281044218380526,1.2281044218380526,2.228104421633971,Low,extreme_error,CatBoost,target_price
2882,6.2,13.800440407105386,-7.600440407105386,7.600440407105386,-1.2258774848192755,1.2258774848192755,2.225877484657985,Mid,extreme_error,LightGBM,log_target_price
2890,4.39,9.771052865473528,-5.381052865473529,5.381052865473529,-1.2257523608764866,1.2257523608764866,2.225752360648696,Low,extreme_error,LightGBM,log_target_price
1406,1.0,2.225213993488637,-1.2252139934886368,1.2252139934886368,-1.2252139922634226,1.2252139922634226,2.2252139912634226,Low,extreme_error,CatBoost,log_target_price
642,4.5,10.010778334851535,-5.510778334851535,5.510778334851535,-1.2246174074726484,1.2246174074726484,2.224617407250426,Low,extreme_error,LightGBM,target_price
6690,5.39,11.973916748452416,-6.583916748452416,6.583916748452416,-1.2215058900242877,1.2215058900242877,2.2215058898387587,Low,extreme_error,CatBoost,target_price
5157,1.8,3.986529449057345,-2.1865294490573453,2.1865294490573453,-1.2147385821347814,1.2147385821347814,2.2147385815792258,Low,extreme_error,CatBoost,log_target_price
